SIMAN Run Controller.

0.0 Seconds>
                                      ARENA Simulation Results
                                                user

                                  Summary for Replication 1 of 10

Project: Assembly line                                               Run execution date : 9/20/2025
Analyst: FATIHA                                                      Model revision date: 9/20/2025

Replication ended at time      : 600.0 Seconds 
Base Time Units: Seconds

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
Process 8.WaitCostPerEntity                 .00000     (Insuf)    .00000     .00000         17    
Process 7.WaitCostPerEntity                 .00000     (Insuf)    .00000     .00000         18    
Process 6.WaitCostPerEntity                 .00000     (Insuf)    .00000     .00000         18    
Process 5.WaitCostPerEntity                 .00000     (Insuf)    .00000     .00000         31    
Process 4.WaitCostPerEntity                 .00000     (Insuf)    .00000     .00000         31    
Process 3.WaitCostPerEntity                 .00000     (Insuf)    .00000     .00000         32    
Process 2.WaitCostPerEntity                 .00000     (Insuf)    .00000     .00000         32    
Process 1.WaitCostPerEntity                 .00000     (Insuf)    .00000     .00000         46    
Process 13.WaitCostPerEntity                .00000     (Insuf)    .00000     .00000          9    
Process 14.VATimePerEntity                  28.830     (Insuf)    26.363     31.145          9    
Process 15.TotalTimePerEntity               35.775     (Insuf)    31.859     38.786          8    
Process 12.TotalCostPerEntity               .23374     (Insuf)    .17074     .32103         10    
Process 12.TotalTimePerEntity               12.020     (Insuf)    8.7808     16.510         10    
Process 12.WaitCostPerEntity                .00000     (Insuf)    .00000     .00000         10    
Process 9.VATimePerEntity                   18.537     (Insuf)    14.105     24.615         17    
Process 8.VATimePerEntity                   9.1488     (Insuf)    3.8553     16.680         17    
Process 7.VATimePerEntity                   12.595     (Insuf)    9.7813     26.034         18    
Process 6.VATimePerEntity                   28.470     (Insuf)    24.112     32.790         18    
Process 5.VATimePerEntity                   12.145     (Insuf)    9.8083     18.920         31    
Process 4.VATimePerEntity                   12.031     (Insuf)    10.755     14.706         31    
Process 3.VATimePerEntity                   6.5713     (Insuf)    5.3893     8.9075         32    
Process 2.VATimePerEntity                   17.671     (Insuf)    13.720     23.071         32    
Process 1.VATimePerEntity                   12.694     (Insuf)    9.3616     17.432         46    
Process 14.WaitTimePerEntity                .00000     (Insuf)    .00000     .00000          9    
Process 15.TotalCostPerEntity               .68309     (Insuf)    .61949     .72677          8    
Process 11.WaitTimePerEntity                .00000     (Insuf)    .00000     .00000         10    
Process 10.TotalTimePerEntity               103.23     (Insuf)    37.654     154.60         11    
Process 9.TotalTimePerEntity                18.784     (Insuf)    14.105     24.615         17    
Process 8.TotalTimePerEntity                9.1488     (Insuf)    3.8553     16.680         17    
Process 7.TotalTimePerEntity                12.610     (Insuf)    9.7813     26.034         18    
Process 6.TotalTimePerEntity                125.59     (Insuf)    30.160     220.57         18    
Process 5.TotalTimePerEntity                12.250     (Insuf)    9.8083     18.920         31    
Process 4.TotalTimePerEntity                12.031     (Insuf)    10.755     14.706         31    
Process 3.TotalTimePerEntity                6.5713     (Insuf)    5.3893     8.9075         32    
Process 2.TotalTimePerEntity                84.779     (Insuf)    15.182     160.38         32    
Process 1.TotalTimePerEntity                19.817     (Insuf)    9.8430     30.831         46    
Process 14.TotalCostPerEntity               1.6016     (Insuf)    1.4646     1.7302          9    
Process 15.VACostPerEntity                  .68309     (Insuf)    .61949     .72677          8    
Process 12.WaitTimePerEntity                .00000     (Insuf)    .00000     .00000         10    
Process 9.WaitTimePerEntity                 .24665     (Insuf)    .00000     2.2906         17    
Process 8.WaitTimePerEntity                 .00000     (Insuf)    .00000     .00000         17    
Process 7.WaitTimePerEntity                 .01577     (Insuf)    .00000     .28381         18    
Process 6.WaitTimePerEntity                 97.124     (Insuf)    .00000     189.02         18    
Process 5.WaitTimePerEntity                 .10555     (Insuf)    .00000     2.5031         31    
Process 4.WaitTimePerEntity                 .00000     (Insuf)    .00000     .00000         31    
Process 3.WaitTimePerEntity                 .00000     (Insuf)    .00000     .00000         32    
Process 2.WaitTimePerEntity                 67.107     (Insuf)    .00000     143.51         32    
Process 1.WaitTimePerEntity                 7.1224     (Insuf)    .00000     17.724         46    
Process 10.WaitCostPerEntity                .00000     (Insuf)    .00000     .00000         11    
Process 12.VATimePerEntity                  12.020     (Insuf)    8.7808     16.510         10    
Process 11.WaitCostPerEntity                .00000     (Insuf)    .00000     .00000         10    
Process 10.VACostPerEntity                  3.2940     (Insuf)    2.9967     4.0264         11    
Process 10.VATimePerEntity                  39.528     (Insuf)    35.961     48.316         11    
Entity 1.VATime                             288.92     (Insuf)    281.81     299.59          8    
Entity 1.NVATime                            .00000     (Insuf)    .00000     .00000          8    
Entity 1.WaitTime                           101.02     (Insuf)    .00000     207.16          8    
Entity 1.TranTime                           15.000     (Insuf)    15.000     15.000          8    
Entity 1.OtherTime                          .00000     (Insuf)    .00000     .00000          8    
Entity 1.TotalTime                          404.95     (Insuf)    310.09     504.39          8    
Entity 1.VACost                             12.005     (Insuf)    11.433     12.436          8    
Entity 1.NVACost                            .00000     (Insuf)    .00000     .00000          8    
Entity 1.WaitCost                           .00000     (Insuf)    .00000     .00000          8    
Entity 1.TranCost                           .00000     (Insuf)    .00000     .00000          8    
Entity 1.OtherCost                          .00000     (Insuf)    .00000     .00000          8    
Entity 1.TotalCost                          12.005     (Insuf)    11.433     12.436          8    
Process 8.Queue.WaitingTime                 .00000     (Insuf)    .00000     .00000         18    
Process 8.Queue.WaitingCost                 .00000     (Insuf)    .00000     .00000         18    
Process 5.Queue.WaitingTime                 .10555     (Insuf)    .00000     2.5031         31    
Process 5.Queue.WaitingCost                 .00000     (Insuf)    .00000     .00000         31    
Process 9.Queue.WaitingTime                 .24665     (Insuf)    .00000     2.2906         17    
Process 9.Queue.WaitingCost                 .00000     (Insuf)    .00000     .00000         17    
Process 4.Queue.WaitingTime                 .00000     (Insuf)    .00000     .00000         32    
Process 4.Queue.WaitingCost                 .00000     (Insuf)    .00000     .00000         32    
Process 2.Queue.WaitingTime                 69.466     (Insuf)    .00000     144.95         33    
Process 2.Queue.WaitingCost                 .00000     (Insuf)    .00000     .00000         33    
Process 7.Queue.WaitingTime                 .01577     (Insuf)    .00000     .28381         18    
Process 7.Queue.WaitingCost                 .00000     (Insuf)    .00000     .00000         18    
Process 6.Queue.WaitingTime                 102.60     (Insuf)    .00000     201.29         19    
Process 6.Queue.WaitingCost                 .00000     (Insuf)    .00000     .00000         19    
Process 15.Queue.WaitingTime                .57343     (Insuf)    .00000     2.5892          9    
Process 15.Queue.WaitingCost                .00000     (Insuf)    .00000     .00000          9    
Process 14.Queue.WaitingTime                .00000     (Insuf)    .00000     .00000          9    
Process 14.Queue.WaitingCost                .00000     (Insuf)    .00000     .00000          9    
Process 13.Queue.WaitingTime                .00000     (Insuf)    .00000     .00000         10    
Process 13.Queue.WaitingCost                .00000     (Insuf)    .00000     .00000         10    
Process 12.Queue.WaitingTime                .00000     (Insuf)    .00000     .00000         10    
Process 12.Queue.WaitingCost                .00000     (Insuf)    .00000     .00000         10    
Process 11.Queue.WaitingTime                .00000     (Insuf)    .00000     .00000         11    
Process 11.Queue.WaitingCost                .00000     (Insuf)    .00000     .00000         11    
Process 10.Queue.WaitingTime                69.043     (Insuf)    .00000     127.77         12    
Process 10.Queue.WaitingCost                .00000     (Insuf)    .00000     .00000         12    
Process 1.Queue.WaitingTime                 6.9892     (Insuf)    .00000     17.724         47    
Process 1.Queue.WaitingCost                 .00000     (Insuf)    .00000     .00000         47    
Process 3.Queue.WaitingTime                 .00000     (Insuf)    .00000     .00000         32    
Process 3.Queue.WaitingCost                 .00000     (Insuf)    .00000     .00000         32    

                                     DISCRETE-CHANGE VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Final Value
___________________________________________________________________________________________________

Entity 1.WIP                                21.937     (Insuf)    .00000     39.000     39.000    
Operator 15.NumberBusy                      .43245     (Insuf)    .00000     1.0000     .00000    
Operator 15.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
Operator 15.Utilization                     .43245     (Insuf)    .00000     1.0000     .00000    
Operator 14.NumberBusy                      .22365     (Insuf)    .00000     1.0000     1.0000    
Operator 14.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
Operator 14.Utilization                     .22365     (Insuf)    .00000     1.0000     1.0000    
Operator 16.NumberBusy                      .43245     (Insuf)    .00000     1.0000     .00000    
Operator 16.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
Operator 16.Utilization                     .43245     (Insuf)    .00000     1.0000     .00000    
Operator 11.NumberBusy                      .75489     (Insuf)    .00000     1.0000     1.0000    
Operator 11.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
Operator 11.Utilization                     .75489     (Insuf)    .00000     1.0000     1.0000    
Operator 10.NumberBusy                      .75489     (Insuf)    .00000     1.0000     1.0000    
Operator 10.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
Operator 10.Utilization                     .75489     (Insuf)    .00000     1.0000     1.0000    
Operator 13.NumberBusy                      .51359     (Insuf)    .00000     1.0000     1.0000    
Operator 13.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
Operator 13.Utilization                     .51359     (Insuf)    .00000     1.0000     1.0000    
Operator 12.NumberBusy                      .51359     (Insuf)    .00000     1.0000     1.0000    
Operator 12.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
Operator 12.Utilization                     .51359     (Insuf)    .00000     1.0000     1.0000    
Helper 1.NumberBusy                         .97613     (Insuf)    .00000     1.0000     1.0000    
Helper 1.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Helper 1.Utilization                        .97613     (Insuf)    .00000     1.0000     1.0000    
Helper 3.NumberBusy                         .20035     (Insuf)    .00000     1.0000     .00000    
Helper 3.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Helper 3.Utilization                        .20035     (Insuf)    .00000     1.0000     .00000    
Helper 2.NumberBusy                         .52524     (Insuf)    .00000     1.0000     .00000    
Helper 2.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Helper 2.Utilization                        .52524     (Insuf)    .00000     1.0000     .00000    
Helper 4.NumberBusy                         .47790     (Insuf)    .00000     1.0000     1.0000    
Helper 4.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Helper 4.Utilization                        .47790     (Insuf)    .00000     1.0000     1.0000    
Operator 9.NumberBusy                       .75489     (Insuf)    .00000     1.0000     1.0000    
Operator 9.NumberScheduled                  1.0000     (Insuf)    1.0000     1.0000     1.0000    
Operator 9.Utilization                      .75489     (Insuf)    .00000     1.0000     1.0000    
Operator 8.NumberBusy                       .26411     (Insuf)    .00000     1.0000     1.0000    
Operator 8.NumberScheduled                  1.0000     (Insuf)    1.0000     1.0000     1.0000    
Operator 8.Utilization                      .26411     (Insuf)    .00000     1.0000     1.0000    
Operator 7.NumberBusy                       .37786     (Insuf)    .00000     1.0000     .00000    
Operator 7.NumberScheduled                  1.0000     (Insuf)    1.0000     1.0000     1.0000    
Operator 7.Utilization                      .37786     (Insuf)    .00000     1.0000     .00000    
Operator 6.NumberBusy                       .88356     (Insuf)    .00000     1.0000     1.0000    
Operator 6.NumberScheduled                  1.0000     (Insuf)    1.0000     1.0000     1.0000    
Operator 6.Utilization                      .88356     (Insuf)    .00000     1.0000     1.0000    
Operator 5.NumberBusy                       .88356     (Insuf)    .00000     1.0000     1.0000    
Operator 5.NumberScheduled                  1.0000     (Insuf)    1.0000     1.0000     1.0000    
Operator 5.Utilization                      .88356     (Insuf)    .00000     1.0000     1.0000    
Operator 4.NumberBusy                       .62750     (Insuf)    .00000     1.0000     .00000    
Operator 4.NumberScheduled                  1.0000     (Insuf)    1.0000     1.0000     1.0000    
Operator 4.Utilization                      .62750     (Insuf)    .00000     1.0000     .00000    
Operator 3.NumberBusy                       .63883     (Insuf)    .00000     1.0000     1.0000    
Operator 3.NumberScheduled                  1.0000     (Insuf)    1.0000     1.0000     1.0000    
Operator 3.Utilization                      .63883     (Insuf)    .00000     1.0000     1.0000    
Operator 2.NumberBusy                       .35047     (Insuf)    .00000     1.0000     .00000    
Operator 2.NumberScheduled                  1.0000     (Insuf)    1.0000     1.0000     1.0000    
Operator 2.Utilization                      .35047     (Insuf)    .00000     1.0000     .00000    
Operator 1.NumberBusy                       .97301     (Insuf)    .00000     1.0000     1.0000    
Operator 1.NumberScheduled                  1.0000     (Insuf)    1.0000     1.0000     1.0000    
Operator 1.Utilization                      .97301     (Insuf)    .00000     1.0000     1.0000    
Process 8.Queue.NumberInQueue               .00000     (Insuf)    .00000     .00000     .00000    
Process 5.Queue.NumberInQueue               .00545     (Insuf)    .00000     1.0000     .00000    
Process 9.Queue.NumberInQueue               .00699     (Insuf)    .00000     1.0000     .00000    
Process 4.Queue.NumberInQueue               .00000     (Insuf)    .00000     .00000     .00000    
Process 2.Queue.NumberInQueue               5.5515     (Insuf)    .00000     13.000     13.000    
Process 7.Queue.NumberInQueue               4.7302E-04 (Insuf)    .00000     1.0000     .00000    
Process 6.Queue.NumberInQueue               5.1897     (Insuf)    .00000     12.000     12.000    
Process 15.Queue.NumberInQueue              .00860     (Insuf)    .00000     1.0000     .00000    
Process 14.Queue.NumberInQueue              .00000     (Insuf)    .00000     .00000     .00000    
Process 13.Queue.NumberInQueue              .00000     (Insuf)    .00000     .00000     .00000    
Process 12.Queue.NumberInQueue              .00000     (Insuf)    .00000     .00000     .00000    
Process 11.Queue.NumberInQueue              .00000     (Insuf)    .00000     .00000     .00000    
Process 10.Queue.NumberInQueue              1.9096     (Insuf)    .00000     5.0000     5.0000    
Process 1.Queue.NumberInQueue               .54749     (Insuf)    .00000     2.0000     .00000    
Process 3.Queue.NumberInQueue               .00000     (Insuf)    .00000     .00000     .00000    

                                             OUTPUTS

Identifier                                   Value
_____________________________________________________________

Process 15 Accum Wait Cost                  .00000    
Process 14 Accum Wait Cost                  .00000    
Process 13 Accum Wait Cost                  .00000    
Process 12 Accum Wait Cost                  .00000    
Process 11 Accum Wait Cost                  .00000    
Process 10 Accum Wait Cost                  .00000    
Process 5 Number Out                        31.000    
Process 3 Accum Wait Time                   .00000    
Process 6 Total Accum Cost                  28.470    
Process 4 Number Out                        31.000    
Process 9 Accum VA Cost                     6.1278    
Process 2 Total Accum Cost                  15.708    
Process 8 Accum Wait Time                   .00000    
Process 2 Number Out                        32.000    
Process 4 Accum Wait Time                   .00000    
Process 2 Number In                         46.000    
Process 10 Number Out                       11.000    
Process 3 Number In                         32.000    
Process 8 Accum Wait Cost                   .00000    
Process 1 Accum Wait Time                   327.63    
Process 11 Number Out                       10.000    
Process 2 Total Accum Time                  2712.9    
Process 8 Accum VA Time                     155.52    
Process 7 Total Accum Time                  226.99    
Process 14 Number Out                       9.0000    
Process 2 Accum VA Cost                     15.708    
Process 6 Number In                         31.000    
Process 7 Accum VA Time                     226.71    
Process 9 Total Accum Cost                  6.1278    
Process 5 Total Accum Time                  379.77    
Process 6 Accum VA Time                     512.46    
Process 15 Number Out                       8.0000    
Process 7 Accum VA Cost                     6.2976    
Process 7 Accum Wait Cost                   .00000    
Process 15 Total Accum Time                 286.20    
Process 14 Total Accum Time                 259.47    
Process 13 Total Accum Time                 127.28    
Process 12 Total Accum Time                 120.20    
Process 11 Total Accum Time                 291.02    
Process 10 Total Accum Time                 1135.5    
Process 1 Number In                         47.000    
Process 9 Accum Wait Time                   4.1931    
Process 2 Accum Wait Time                   2147.4    
Process 4 Accum Wait Cost                   .00000    
Process 12 Number Out                       10.000    
Process 7 Accum Wait Time                   .28381    
Process 5 Accum VA Time                     376.50    
Process 8 Total Accum Time                  155.52    
Process 8 Number In                         18.000    
Process 9 Number In                         17.000    
Process 5 Accum Wait Time                   3.2719    
Process 9 Accum Wait Cost                   .00000    
Process 15 Accum VA Cost                    5.4647    
Process 14 Accum VA Cost                    14.415    
Process 13 Accum VA Cost                    3.5356    
Process 12 Accum VA Cost                    2.3373    
Process 11 Accum VA Cost                    16.168    
Process 10 Accum VA Cost                    36.234    
Process 9 Total Accum Time                  319.33    
Process 6 Accum Wait Time                   1748.2    
Process 7 Number Out                        18.000    
Process 6 Number Out                        18.000    
Process 5 Accum VA Cost                     10.458    
Process 3 Total Accum Cost                  5.8411    
Process 1 Total Accum Time                  911.60    
Process 15 Accum VA Time                    281.04    
Process 14 Accum VA Time                    259.47    
Process 13 Accum VA Time                    127.28    
Process 12 Accum VA Time                    120.20    
Process 11 Accum VA Time                    291.02    
Process 10 Accum VA Time                    434.81    
Process 3 Accum VA Cost                     5.8411    
Process 5 Total Accum Cost                  10.458    
Process 2 Accum VA Time                     565.49    
Process 8 Total Accum Cost                  4.3202    
Process 13 Number Out                       9.0000    
Process 3 Accum VA Time                     210.28    
Process 7 Total Accum Cost                  6.2976    
Process 1 Accum VA Time                     583.96    
Process 3 Total Accum Time                  210.28    
Process 7 Number In                         18.000    
Process 5 Number In                         31.000    
Process 15 Accum Wait Time                  5.1608    
Process 14 Accum Wait Time                  .00000    
Process 13 Accum Wait Time                  .00000    
Process 12 Accum Wait Time                  .00000    
Process 11 Accum Wait Time                  .00000    
Process 10 Accum Wait Time                  700.74    
Process 4 Number In                         32.000    
Process 8 Accum VA Cost                     4.3202    
Process 5 Accum Wait Cost                   .00000    
Process 3 Accum Wait Cost                   .00000    
Process 4 Accum VA Time                     372.99    
Process 4 Accum VA Cost                     10.360    
Process 1 Accum VA Cost                     11.354    
Process 9 Accum VA Time                     315.14    
Process 4 Total Accum Cost                  10.360    
Process 8 Number Out                        17.000    
Process 1 Accum Wait Cost                   .00000    
Process 3 Number Out                        32.000    
Process 6 Total Accum Time                  2260.7    
Process 9 Number Out                        17.000    
Process 6 Accum VA Cost                     28.470    
Process 15 Total Accum Cost                 5.4647    
Process 14 Total Accum Cost                 14.415    
Process 13 Total Accum Cost                 3.5356    
Process 12 Total Accum Cost                 2.3373    
Process 11 Total Accum Cost                 16.168    
Process 10 Total Accum Cost                 36.234    
Process 6 Accum Wait Cost                   .00000    
Process 15 Number In                        9.0000    
Process 14 Number In                        9.0000    
Process 13 Number In                        10.000    
Process 12 Number In                        10.000    
Process 11 Number In                        11.000    
Process 10 Number In                        17.000    
Process 2 Accum Wait Cost                   .00000    
Process 1 Total Accum Cost                  11.354    
Process 1 Number Out                        46.000    
Process 4 Total Accum Time                  372.99    
Entity 1.NumberIn                           47.000    
Entity 1.NumberOut                          8.0000    
Operator 15.NumberSeized                    9.0000    
Operator 15.ScheduledUtilization            .43245    
Operator 15.BusyCost                        7.2075    
Operator 15.IdleCost                        .00000    
Operator 15.UsageCost                       .00000    
Operator 14.NumberSeized                    10.000    
Operator 14.ScheduledUtilization            .22365    
Operator 14.BusyCost                        3.5356    
Operator 14.IdleCost                        .00000    
Operator 14.UsageCost                       .00000    
Operator 16.NumberSeized                    9.0000    
Operator 16.ScheduledUtilization            .43245    
Operator 16.BusyCost                        7.2075    
Operator 16.IdleCost                        .00000    
Operator 16.UsageCost                       .00000    
Operator 11.NumberSeized                    12.000    
Operator 11.ScheduledUtilization            .75489    
Operator 11.BusyCost                        12.078    
Operator 11.IdleCost                        .00000    
Operator 11.UsageCost                       .00000    
Operator 10.NumberSeized                    12.000    
Operator 10.ScheduledUtilization            .75489    
Operator 10.BusyCost                        12.078    
Operator 10.IdleCost                        .00000    
Operator 10.UsageCost                       .00000    
Operator 13.NumberSeized                    11.000    
Operator 13.ScheduledUtilization            .51359    
Operator 13.BusyCost                        8.0841    
Operator 13.IdleCost                        .00000    
Operator 13.UsageCost                       .00000    
Operator 12.NumberSeized                    11.000    
Operator 12.ScheduledUtilization            .51359    
Operator 12.BusyCost                        8.0841    
Operator 12.IdleCost                        .00000    
Operator 12.UsageCost                       .00000    
Helper 1.NumberSeized                       47.000    
Helper 1.ScheduledUtilization               .97613    
Helper 1.BusyCost                           11.354    
Helper 1.IdleCost                           .00000    
Helper 1.UsageCost                          .00000    
Helper 3.NumberSeized                       10.000    
Helper 3.ScheduledUtilization               .20035    
Helper 3.BusyCost                           2.3373    
Helper 3.IdleCost                           .00000    
Helper 3.UsageCost                          .00000    
Helper 2.NumberSeized                       17.000    
Helper 2.ScheduledUtilization               .52524    
Helper 2.BusyCost                           6.1278    
Helper 2.IdleCost                           .00000    
Helper 2.UsageCost                          .00000    
Helper 4.NumberSeized                       9.0000    
Helper 4.ScheduledUtilization               .47790    
Helper 4.BusyCost                           5.4647    
Helper 4.IdleCost                           .00000    
Helper 4.UsageCost                          .00000    
Operator 9.NumberSeized                     12.000    
Operator 9.ScheduledUtilization             .75489    
Operator 9.BusyCost                         12.078    
Operator 9.IdleCost                         .00000    
Operator 9.UsageCost                        .00000    
Operator 8.NumberSeized                     18.000    
Operator 8.ScheduledUtilization             .26411    
Operator 8.BusyCost                         4.3202    
Operator 8.IdleCost                         .00000    
Operator 8.UsageCost                        .00000    
Operator 7.NumberSeized                     18.000    
Operator 7.ScheduledUtilization             .37786    
Operator 7.BusyCost                         6.2976    
Operator 7.IdleCost                         .00000    
Operator 7.UsageCost                        .00000    
Operator 6.NumberSeized                     19.000    
Operator 6.ScheduledUtilization             .88356    
Operator 6.BusyCost                         14.235    
Operator 6.IdleCost                         .00000    
Operator 6.UsageCost                        .00000    
Operator 5.NumberSeized                     19.000    
Operator 5.ScheduledUtilization             .88356    
Operator 5.BusyCost                         14.235    
Operator 5.IdleCost                         .00000    
Operator 5.UsageCost                        .00000    
Operator 4.NumberSeized                     31.000    
Operator 4.ScheduledUtilization             .62750    
Operator 4.BusyCost                         10.458    
Operator 4.IdleCost                         .00000    
Operator 4.UsageCost                        .00000    
Operator 3.NumberSeized                     32.000    
Operator 3.ScheduledUtilization             .63883    
Operator 3.BusyCost                         10.360    
Operator 3.IdleCost                         .00000    
Operator 3.UsageCost                        .00000    
Operator 2.NumberSeized                     32.000    
Operator 2.ScheduledUtilization             .35047    
Operator 2.BusyCost                         5.8411    
Operator 2.IdleCost                         .00000    
Operator 2.UsageCost                        .00000    
Operator 1.NumberSeized                     33.000    
Operator 1.ScheduledUtilization             .97301    
Operator 1.BusyCost                         15.708    
Operator 1.IdleCost                         .00000    
Operator 1.UsageCost                        .00000    
All Entities.VACost                         177.09    
All Entities.NVACost                        .00000    
All Entities.WaitCost                       .00000    
All Entities.TranCost                       .00000    
All Entities.OtherCost                      .00000    
All Entities.TotalCost                      177.09    
All Resources.BusyCost                      177.09    
All Resources.IdleCost                      .00000    
All Resources.UsageCost                     .00000    
All Resources.TotalCost                     177.09    
System.TotalCost                            177.09    
System.NumberOut                            8.0000    

Beginning replication 2 of 10

                                      ARENA Simulation Results
                                                user

                                  Summary for Replication 2 of 10

Project: Assembly line                                               Run execution date : 9/20/2025
Analyst: FATIHA                                                      Model revision date: 9/20/2025

Replication ended at time      : 600.0 Seconds 
Base Time Units: Seconds

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
___________________________________________________________________________________________________

Process 13.WaitTimePerEntity                .00000     (Insuf)    .00000     .00000         10    
Process 10.TotalCostPerEntity               3.4686     (Insuf)    2.9703     4.1923         11    
Process 14.WaitCostPerEntity                .00000     (Insuf)    .00000     .00000          9    
Process 12.VACostPerEntity                  .25805     (Insuf)    .16732     .37391         10    
Process 10.WaitTimePerEntity                59.539     (Insuf)    .00000     116.68         11    
Process 13.VATimePerEntity                  12.895     (Insuf)    11.345     14.996         10    
Process 9.TotalCostPerEntity                .37028     (Insuf)    .29261     .49064         17    
Process 8.TotalCostPerEntity                .24732     (Insuf)    .12302     .52710         18    
Process 7.TotalCostPerEntity                .34426     (Insuf)    .28423     .43504         18    
Process 6.TotalCostPerEntity                1.5697     (Insuf)    1.3737     1.7826         18    
Process 5.TotalCostPerEntity                .34229     (Insuf)    .27375     .59732         30    
Process 4.TotalCostPerEntity                .34475     (Insuf)    .29225     .44937         31    
Process 3.TotalCostPerEntity                .17956     (Insuf)    .15024     .32484         31    
Process 2.TotalCostPerEntity                .50795     (Insuf)    .40310     .61205         32    
Process 1.TotalCostPerEntity                .25705     (Insuf)    .18076     .34078         44    
Process 9.VACostPerEntity                   .37028     (Insuf)    .29261     .49064         17    
Process 8.VACostPerEntity                   .24732     (Insuf)    .12302     .52710         18    
Process 7.VACostPerEntity                   .34426     (Insuf)    .28423     .43504         18    
Process 6.VACostPerEntity                   1.5697     (Insuf)    1.3737     1.7826         18    
Process 5.VACostPerEntity                   .34229     (Insuf)    .27375     .59732         30    
Process 4.VACostPerEntity                   .34475     (Insuf)    .29225     .44937         31    
